Author	Book Title	ISBN	Year Level
Lofthouse, Liz; Ingpen, Robert	Ziba Came on a Boat	978-0-670-02861-0	5-6
Lofts, Pamela	Warnayarra: the Rainbow Snake	978-1-86504-623-5	EC-2
Lofts, Pamela (comp.); Albert, Mary (storyteller)	How the Birds Got Their Colours	978-0-86896-264-1	EC-2
Lofts, Pamela (comp.); Green, Mona (storyteller)	The Echidna and the Shade Tree	978-0-86896-266-5	EC-2
Lofts, Pamela (comp.); Lippo, Agnes (storyteller)	The Kangaroo and the Porpoise	978-0-86896-327-3	EC-2
Lofts, Pamela; Mowalijarlai, David	When the Snake Bites the Sun	978-1-86504-628-0	EC-2
Loh, Morag	Tucking Mummy in	978-0-86896-626-7	EC-2
Lohse, Wendy	Is It True, Grandfather?	978-0-86896-987-9	5-6
Lomer, Kathryn	What Now Tilda B?	978-0-7022-3778-2	7-8
Lomer, Kathryn	Talk Under Water	9780702253690	7-8, 9-10
London, Jack	Call of the Wild	978-0-582-42049-6	7-8
London, Jack	White Fang	978-0-582-41815-8	5-6, 7-8
Long, John	It's True! Dinosaurs Never Died	978-1-74114-274-7	5-6
Long, John; Choo, Brian (ill.)	The Big Picture Book: See Life on Earth Unfolding Through Time	978-1-74114-328-7	5-6
Long, John; Ruse, Jill	Gogo Fish! the Story of the Western Australian State Fossil Emblem	978-1-920843-08-3	5-6
Long, Loren	Drummer Boy	978-0399251740	3-4
Long, Melinda; Shannon, David (ill.)	How I Became a Pirate	978-0-15-201848-1	EC-2
Lopshire, Robert	Put Me in the Zoo	978-0-00-171324-6	EC-2
Lord, Gabrielle	Conspiracy 365 series		7-8, 9-10
Lore, Pittacus	Lorien Legacies series		7-8, 9-10
Lott, Tim	Fearless	978-1-4063-0862-4	7-8
Loughlin, Patrick; Ziersch, Nahum	Banana Kick	9780857982667	3-4, 5-6
Loughlin, Patrick; Ziersch, Nahum	Try Time	9780857982469	3-4, 5-6
Louise, Zanni; Pignataro, Anna (ill.)	Too Busy Sleeping	9781742979625	EC-2
Lovegrove, James	The House of Lazarus	1-84299-125-6	7-8, 9-10
Lovell, Robin; Miller, David	Where There's Smoke	978-0-7344-0749-8	EC-2
Lovelock, Damien	Soccer: Great Moments, Great Players in World Football	978-1-86448-085-6	5-6
Loves, June	My Guardian Angel	978-0-207-19163-3	3-4
Loves, June	Pets series		EC-2
Loves, June	Plants series		EC-2
Loves, June	Shops and Markets series		EC-2
Lowe, Pat	In the Desert: Jimmy Pike as a Boy	978-0-14-300308-3	7-8
Lowe, Pat	The Girl with No Name	978-0-14-036953-3	7-8
Lowe, Pat	Yinti: Desert Child	978-1-875641-01-7	5-6
Lowe, Pat; Pike, Jimmy (ill.)	Desert Cowboy	978-1-875641-57-4	7-8
Lowe, Pat; Pike, Jimmy (ill.)	Desert Dog	978-1-875641-35-2	7-8
Lowry, Brigid	Follow the Blue	978-1-86508-400-8	7-8
Lowry, Brigid	Guitar Highway Rose	978-1-74114-525-0	7-8
Lowry, Brigid	With Lots of Love from Georgia	978-1-74114-310-2	7-8
Lowry, Lois	Anastasia series		5-6
Lowry, Lois	Gathering Blue	9780385732567	7-8
Lowry, Lois	Number the Stars	978-0-7322-5091-1	7-8
Lowry, Lois	The Giver	9780007141425	7-8
Lu, Marie	Champion	9780399256776	9-10
Lu, Marie	Legend	9780399256752	9-10
Lu, Marie	Life Before Legend	9780399167591	9-10
Lu, Marie	Prodigy	9780399256769	9-10
Lucas, David	Cake Girl	978-1-84270-636-7	EC-2
Lucas, David	Nutmeg	9781842705636	EC-2
Lucas, David	The Robot and the Bluebird	9781842707326	EC-2
Lucas, Diane; Searle, Ken (ill.)	Walking with the Seasons in Kakadu	978-1-86508-867-9	5-6
Luckett, D	Sian	9781742990392	5-6, 7-8
Luckett, Dave	A Dark Winter	978-1-86291-368-4	7-8
Luckett, Dave	Iron Soldiers: A Story of Arms and Armour	978-1-86291-429-2	5-6
Luckett, Dave	Paladin	978-1-86291-867-2	5-6
Luckett, Dave	Return of Rathalorn	978-1-86291-641-8	5-6
Luckett, Dave	The Truth About Magic	978-1-86291-540-4	5-6
Luckett, Dave; Joyner, Andrew	Crooked Mick	978-1-86291-815-3	EC-2
Luen Yang, Gene	American Born Chinese	978-1-59643-152-2	9-10
Luff, Nathan	Chicken Stu	978-1-74169-556-4	5-6
Luke, Pauline	Bronco, Fi, Maddie and Me	978-0-7022-3601-3	5-6, 7-8
Lukic, Marie C	Galaxy Trotters	9781921642395	5-6
Lunn, Helen; Miller, David (ill.)	Over the Hill and Round the Bend with Granny and Bert and Me	978-1-86504-245-9	3-4
Lurie, Morris; Honey, Elizabeth (ill.)	The 27th Annual African Hippopotamus Race	978-0-14-034297-0	3-4
Lyga, Barry	The Astonishing Adventures of Fanboy and Goth Girl	978-0-618-91652-8	9-10
Maas, Sarah	A Court of Thorns and Roses series		9-10
Maas, Sarah	Throne of Glass series		9-10
Mabbitt, Will	Mabel Jones and the Forbidden City	9780147514264	5-6
Mabbitt, Will	The Unlikely Adventures of Mabel Jones	9780451471963	5-6
Macauley, Rowan	Stage Fright	978-1-92141-742-9	3-4
MacDonald, Alan	Al Capone and his Gang	978-0-439-01120-4	7-8
MacDonald, Alan	Henry VIII and his Chopping Block	978-0-439-21125-3	7-8
MacDonald, Alan	Oliver Cromwell and his Warts	978-0-439-99610-5	7-8
MacDonald, Alan	Queen Victoria and her Amusements	978-0-439-99911-3	7-8
MacDonald, Alan	Spoilt Royals	978-0-590-11249-9	7-8
MacDonald, Alan	Triffic Chocolate	978-0-439-99524-5	7-8
MacDonald, Alan	Tutankhamen's Tomb	978-0-439-98238-2	7-8
MacDonald, Alan	Winston Churchill and his Great Wars	978-0-439-96791-4	7-8
MacDonald, Beverley	It's True! Crime Doesn't Pay	978-1-74114-275-4	5-6
MacDonald, Beverley; Weldon, Andrew (ill.)	Written in Blood: a Brief History of Civilisation [with the Gory Bits Left In]	978-1-86508-792-4	7-8
MacDonald, Caroline	Speaking to Miranda	978-0-14-034970-2	7-8
MacDonald, Caroline	The Lake at the End of the World	978-0-14-037938-9	7-8
MacDonald, Wendy	Training a Guide Dog	978-1-74070-019-1	3-4
MacDonald, Wendy; Wilson, Mark (ill.)	The Castaway Convict	978-1-920694-35-7	5-6, 7-8
Machin, Sue; Vivas, Julie (ill.)	I Went Walking	978-1-86291-320-2	EC-2
MacInnis, Peter	Australian Backyard Explorer	978-0-642-27684-1	5-6
Macinnis, Peter	Kokoda Track, 101 Days	978-1-876372-96-5	7-8
Macinnis, Peter	The Monster Maintenance Manual: A Spotter's Guide	978-1-7419-6808	3-4, 5-6
Macinnis, Peter	It's True! You Eat Poison Every Day	978-1-74114-626-4	5-6
MacIntyre, Pam; LaMarca, Susan	Things a Map Won't Show You: Stories from Australia and Beyond	9780143565314	7-8
Mack, W.C.	Athlete Vs Mathlete	9781599908588	3-4, 5-6
Mackay, Gregory	Anders and the Comet	9781760111151	3-4
Mackay, Gregory	Anders and the Volcano	9781760290030	3-4
Mackellar, Dorothy; McLean, Andrew (ill.)	My Country	978-1-86291-730-9	3-4, 5-6
MacKenzie, Ross	The Nowhere Emporium	9781782501251	5-6, 7-8
Mackintosh, David	What's Up Mumu?	9780007463060	5-6
MacLachlan, Patricia	Journey	978-1-85681-112-5	7-8
MacLachlan, Patricia	Sarah, Plain and Tall	978-0-7445-6016-9	5-6
Maclaren, Chesley	Zat Cat!	978-0-439-27316-9	3-4
MacLean, Craig	What Noise Comes From a Giraffe?	9781460752234	EC-2
Macleod, Doug	I'm Being Stalked by a Moonshadow	978-0-14-330198-1	7-8
MacLeod, Doug	Kevin The Troll	978-0-14-330269-8	5-6, 7-8
MacLeod, Doug	Siggy and Amber	9780143304388	EC-2, 3-4, 5-6, 7-8, 9-10
MacLeod, Doug	The Clockwork Forest	978-0-14-300746-3	5-6, 7-8
MacLeod, Doug	The Life of a Teenage Body-Snatcher	978-0-14-320391-9	9-10
MacLeod, Doug	The Shiny Guys	9781742534916	9-10
MacLeod, Doug	Tigers on the Beach	9781742537238	7-8, 9-10
MacLeod, Doug	Tumble Turn	978-0-14-330063-2	7-8
MacLeod, Doug; Okalyi, Sandy (ill.)	Mozzie and Midgie	9781921504310	EC-2
MacLeod, Doug; Smith, Craig (ill)	The Windy Farm	978-1-921504-41-9	EC-2
MacLeod, Doug; Smith, Craig (ill.)	Heather Fell In The Water	9781742376486	EC-2
Macleod, Doug; Smith, Craig (ill.)	Leon Stumble’s Book of Fairly Stupid Tales	978-1-876288-66-2	5-6
Macleod, Doug; Smith, Craig (ill.)	Sister Madge's Book of Nuns	978-1-86291-057-7	5-6
Macleod, Doug; Smith, Craig (ill.)	Spiky, Spunky, My Pet Monkey and Other Weird and Wicked Rhymes	978-0-14-330090-8	5-6
MacPhail, Catherine	Sticks and Stones	978-1-8429-9-2951	7-8, 9-10
Macphail, Catherine	Underworld	978-0-7475-7041-7	7-8
Maddern, Eric; Hess, Paul (ill)	The King and the Seed	9781847802071	EC-2, 3-4
Maddern, Eric; Hess, Paul (ill.)	The King with Horse's Ears	978-0-7112-1957-1	EC-2
Madgwick, Wendy	Water Play	978-0-7502-2154-2	EC-2
Mafi, Tahereh	Shatter Me series		9-10
Magloff, Lisa	Bear	978-1-4053-0241-8	EC-2
Magorian, Michelle	Goodnight Mister Tom	978-0-14-130144-0	7-8
Mah, Adeline Yen	Chinese Cinderella	978-0-14-130487-8	7-8
Mah, Adeline Yen	Chinese Cinderella and the Secret Dragon Society	978-1-86508-865-5	7-8
Mah, Adeline Yen	Falling Leaves	978-0-14-026598-9	9-10
Mahy, Margaret	A Lion in the Meadow	978-0-14-050630-3	EC-2
Mahy, Margaret	Alchemy	978-0-00-713135-8	7-8
Mahy, Margaret	Aliens in the Family	978-0-590-44898-7	7-8
Mahy, Margaret	Dangerous Spaces	978-0-14-036362-3	7-8
Mahy, Margaret	Down in the Dump with Dinsmore	978-0-14-130213-3	3-4
Mahy, Margaret	Memory	978-0-14-032680-2	7-8
Mahy, Margaret	Simply Delicious!	978-0-7112-1441-5	EC-2
Mahy, Margaret	The Changeover	978-0-590-41289-6	7-8
Mahy, Margaret	The Great Piratical Rumbustification	978-0-14-031261-4	3-4
Mahy, Margaret	The Great White Man-Eating Shark	978-0-14-055424-3	EC-2, 3-4
Mahy, Margaret	The Haunting	978-0-14-036325-8	7-8
Mahy, Margaret	The Kaitangata Twitch	978-1-74114-485-7	7-8
Mahy, Margaret	The Man Whose Mother was a Pirate	978-0-14-055430-4	EC-2
Mahy, Margaret	The Tricksters	978-0-14-032363-4	7-8
Mahy, Margaret	Underrunners	978-0-670-84179-0	7-8
Mahy, Margaret; Bishop, Gavin (ill)	Mister Whistler	978-1-877467-91-2	EC-2
Mahy, Margaret; Dunbar, Polly	Down the Back of the Chair	978-1-84507-602-3	EC-2
Mahy, Margaret; Young, Selina (ill.)	A Summery Saturday Morning	978-0-140-56327-6	EC-2, 3-4
Mairou, Naomi	The Dugong Meadow	978-0-9580982-0-5	3-4
Malbunka, Mary	When I Was Little Like You	978-1-86508-903-4	5-6
Malley, Gemma	The Declaration	978-0-7475-8775-0	7-8
Malley, Gemma	The Legacy	9781408800898	7-8
Malley, Gemma	The Resistance	978-0-7475-8772-9	7-8
Malone, Geoffrey	Dead Boys Club	9780340999608	7-8, 9-10
Malouf, David	Fly Away Peter	978-0-7011-6117-0	9-10
Malouf, David	Ransom	9780099539520	9-10
Mangan, Anne; Cornish, David (ill.)	Emu's Halloween	9780732298906	EC-2
Mankell, Henning	Playing with Fire	978-1-86508-714-6	9-10
Mankell, Henning	Secrets in the Fire	978-1-86508-181-6	7-8
Mankell, Henning	The Fury in the Fire	978-1-74175-831-3	9-10
Manning, Mick	Stone Age Bone Age!	978-0-7496-5864-9	EC-2
Manning-Sanders, Ruth	The Book of Wizards	978-0-416-21890-9	5-6
Manos, Helen; Vivas, Julie (ill.)	Samsara Dog	978-1-876288-62-4	5-6
Manthorpe, Helen	Kangaroo	978-1-86291-415-5	EC-2, 3-4
Manthorpe, Helen	Possum	978-1-86291-414-8	EC-2, 3-4
Manuell, Michael	Eleven Days	978-1-86504-621-1	7-8
Marchetta, Melina	Finnikin of the Rock	9780670072811	9-10
Marchetta, Melina	Froi of The Exiles	9780670076086	9-10
Marchetta, Melina	Looking for Alibrandi	978-0-14-029350-0	9-10
Marchetta, Melina	On the Jellicoe Road	978-0-670-07029-9	9-10
Marchetta, Melina	Quintana of Charyn	9780670076246	9-10
Marchetta, Melina	Saving Francesca	978-0-670-04045-2	9-10
Marchetta, Melina	The Gordon in the Gully	978-0-14-330561-3	3-4
Marchetta, Melina	The Piper's Son	978-0670074235	9-10
Margolis, Leslie	Girl's Best Friend	978-1-59990-690-4	3-4
Margolis, Leslie	Secrets at the Chocolate Mansion	9781619630369	3-4
Margolis, Leslie	Vanishing Acts	9781599909813	3-4
Marillier, Juliet	Cybele's Secret	978-1-4050-5205-4	7-8
Marillier, Juliet	Wildwood Dancing	978-1-4050-5204-7	7-8
Marilyn Kaye	Better Late than Never	978-0-330-53556-4	7-8
Marilyn Kaye	Finders Keepers	978-0-330-51005-9	7-8
Marilyn Kaye	Here Today Gone Tomorrow	978-0-330-51006-6	7-8
Marilyn Kaye	Now You See Me	978-0-330-51344-9	7-8
Marilyn Kaye	Out of Sight Out of Mind	978-0-330-52858-0	7-8
Marilyn Kaye	Speak No Evil	978-0-330-51345-6	7-8
Marin, Gabiann; Dale, Rae (ill.)	Dame Nellie Melba	978-1921042645	5-6
Marin, Gabiann; Goss, Mini (ill.)	Little Rosie Runaway	978-1-921042-42-3	EC-2
Marin, Gabiann; Grzegrzolka, Angela (ill.)	Mary MacKillop	9781921928192	5-6
Mark, Jan	Hairs in the Palm of the Hand	978-0-7226-5728-7	7-8
Mark, Jan	Handles	978-0-14-031587-5	7-8
Marney, Ellie	Every series		9-10
Marr, Shirley	Fury	9781742031323	9-10
Marriot, Janice	Thor's Tale	978-1-86950-572-1	5-6
Marriott, Zoe	Shadows on the Moon	9781406318159	7-8, 9-10
Marriott, Zoe	The Swan Kingdom	978-0-7445-2927-2	7-8
Marryatt, F.	The Children of the New Forest	978-1-85326-110-7	5-6, 7-8
Marsden, John	Burning for Revenge	978-0-330-36393-8	9-10
Marsden, John	Checkers	978-0-440-22860-8	9-10
Marsden, John	Circle of Flight	978-1-4050-3767-9	9-10
Marsden, John	Cool School	978-0-330-35681-7	5-6
Marsden, John	Darkness, Be My Friend	978-0-330-36392-1	9-10
Marsden, John	Incurable	978-1-4050-3699-3	9-10
Marsden, John	Letters from the Inside	978-0-330-33293-4	9-10
Marsden, John	Norton's Hut	978-0-85091-739-0	7-8
Marsden, John	So Much to Tell You	978-0-85091-941-7	7-8
Marsden, John	Staying Alive in Year Five	978-0-330-35884-2	5-6
Marsden, John	Take My Word for It	978-0-7329-0765-5	7-8
Marsden, John	The Dead of the Night	978-0-330-36390-7	9-10
Marsden, John	The Night is for Hunting	978-0-330-36394-5	9-10
Marsden, John	The Other Side of Dawn	978-0-330-36395-2	9-10
Marsden, John	The Third Day, the Frost	978-0-330-36391-4	9-10
Marsden, John	The Year My Life Broke	9781742613352	3-4, 5-6
Marsden, John	Tomorrow When the War Began	978-0-330-27486-9	9-10
Marsden, John	While I Live	978-0-330-36484-3	9-10
Marsden, John	Winter	978-0-330-42184-3	9-10
Marsden, John; Rippin, Sally (ill.)	Millie	978-0-7329-1129-4	3-4
Marsden, John; Smith, Craig (ill.)	A Day in the Life of Me	978-0-7344-0196-0	EC-2
Marsden, John; Tan, Shaun (ill.)	The Rabbits	978-0-7344-0221-9	7-8
Marshall, Alan	I Can Jump Puddles	978-0-14-300304-5	7-8
Marshall, Felicity	The Star	978-1-921665-05-9	5-6
Marshall, Jill	Jane Blonde: Golden Spy	978-0-230-71405-2	5-6
Marshall, Jill	Jane Blonde: Sensational Spylet	978-0-330-43814-8	5-6
Marshall, Jill	Jane Blonde: Spies Trouble	978-0-330-43825-4	5-6
Marshall, Jill	Jane Blonde: Spy in the Sky	978-0-330-45812-2	5-6
Marshall, Jill	Jane Blonde: Spylet on Ice	978-0-330-44658-7	5-6
Marshall, Jill	Jane Blonde: Spylets Are Forever	978-0-330-45813-9	5-6
Marshall, Jill	Jane Blonde: Twice the Spylet	978-0-330-44657-0	5-6
Martel, Yann	Life of Pi	978-1-84195-849-1	9-10
Martin Jnr, Bill; Carle, Eric (ill.)	Brown Bear, Brown Bear, What Do You See?	978-0-14-050296-1	EC-2
Martin, Ann M.	A Dog's Life	978-0-439-71559-1	5-6
Martin, Ann M.	Everything for a Dog	978-1-74169-837-4	5-6
Martin, Ann M.	How to Look for a Lost Dog	9781474906470	5-6
Martin, Bill Jnr; Carle, Eric (ill.)	Baby Bear, Baby Bear, What Do You See?	0-805083367	EC-2
Martin, Bill Jnr; Carle, Eric (ill.)	Panda Bear, Panda Bear What Do You See?	Check06604	EC-2
Martin, Bill Jnr; Carle, Eric (ill.)	Polar Bear, Polar Bear, What Do You Hear?	978-0-14-054519-7	EC-2
Martin, Carol Ann	Captain Blunderbolt	9781862918238	5-6
Martin, Carol Ann	Once There Were Mermaids	978-1-86291-625-8	7-8
Martin, Carol Ann	Tansy Magill	9781742534657	3-4
Martin, Carol Ann; Wood, Ben (ill.)	Underneath a Cow	9781742990880	EC-2
Martin, Helen: Simpson, Judith	ABC Book of Animals	978-0-7333-2382-9	EC-2
Martin, Helen; Simpson, Judith; Orsini, Cheryl	The ABC Book of … series		EC-2
Martin, Jesse	Lionheart: a Journey of the Human Spirit	978-1-86508-570-8	9-10
Martin, Laura	Edge of Extinction	9780008152895	5-6, 7-8
Martin, Marc	Max	9780670077434	EC-2
Martin, Marc	A Forest	9781783702084	EC-2
Martin, Marc	A River	9781783704330	EC-2
Martin, Marc	Lots	9780670078943	EC-2, 3-4, 5-6, 7-8, 9-10
Martin, Marc	The Curious Explorer's Illustrated Guide to Exotic Animals A to Z	9780670076468	EC-2, 3-4, 5-6, 7-8, 9-10
Martin, Rodney	There's a Dinosaur in the Park	978-0-947212-18-6	EC-2
Martin, S. R.	Booger Mining	978-1-86388-654-3	5-6
Martin, S. R.	Chair	978-1-86388-818-9	5-6
Martin, S. R.	Charmantle	978-1-86388-653-6	5-6
Martin, S. R.	Cold	978-1-86388-650-5	5-6
Martin, S. R.	Fungus	978-1-86388-981-0	5-6
Martin, S. R.	Road-kill Breakfast	978-1-86388-651-2	5-6
Martin, S. R.	Slice 'n' Dice	978-1-86388-817-2	5-6
Martin, S. R.	Stench	978-1-86388-982-7	5-6
Martin, S. R.	Strange Station	978-1-86388-983-4	5-6
Martin, S. R.	Talk to Me	978-1-86388-652-9	5-6
Martin, S. R.	The Figment	978-1-86388-859-2	5-6
Martin, S. R.	The Tunnel	978-1-86388-649-9	5-6
Martin, Sam	The Curious Boy's Book of Adventure	978-0-670-07156-2	7-8
Martini, Clem	The Judgement	978-0-7475-7585-6	5-6
Martini, Clem	The Mob	978-0-7475-8146-8	5-6
Martini, Clem	The Plague	978-0-7475-7583-2	5-6
Martyn, Eve	Killer MacKenzie	978-0-7344-1026-9	9-10
Marwood, Lorraine	A Ute Picnic and Other Australian Poems	978-1-921529-77-1	3-4, 5-6
Marwood, Lorraine	Note on the Door and Other Poems about Family Life	9781921720611	5-6, 7-8, 9-10
Marwood, Lorraine	Ratwhiskers and Me	978-1-921150-39-5	7-8
Marwood, Lorraine	Redback Mansion	978-0-86418-768-0	5-6
Marwood, Lorraine	Star Jumps	978-1921150722	5-6
Marwood, Lorraine; Bell, Jocelyn (ill.)	The Girl Who Turned into Treacle	978-0-14-330257-5	EC-2
Maryon, Kate	A Million Angels	9780007435890	5-6, 7-8
Maryon, Kate	A Sea of Stars	978-0007464647	5-6, 7-8
Maryon, Kate	Glitter	9780007326280	5-6, 7-8
Maryon, Kate	Invisible Girl	978-0007466900	5-6, 7-8
Maryon, Kate	Shine	9780007326273	5-6, 7-8
Marzollo, Jean	I'm Tyrannosaurus: a Book of Dinosaur Rhymes	978-0-590-44641-9	EC-2
Marzollo, Jean; Mills, Liz (ill.)	I Spy series		EC-2
Maskell, Hazel	Cycling	9781409582014	5-6
Mason, Prue	Birdie in the Sky	978-0-14-330590-3	3-4
Mason, Prue	Camel Rider	978-0-14-330082-3	7-8
Mason, Prue	Zafir	9781743312544	9-10
Masson, Sophie	1914	9781743622476	9-10
Masson, Sophie	A River Through Time	978-1-74051-851-2	7-8
Masson, Sophie	Birds of a Feather	978-1-86330-472-6	7-8
Masson, Sophie	Boggle Hunters Game On	9781741698510	5-6
Masson, Sophie	Cold Iron	978-0-7336-0583-3	7-8
Masson, Sophie	In Hollow Lands	978-0-340-85442-6	7-8
Masson, Sophie	My Australian Story: The Hunt for Ned Kelly	978-1-74169-5649	5-6, 7-8
Masson, Sophie	My Father's War	978-174-1698-282	5-6, 7-8
Masson, Sophie	Ned Kelly's Secret From Boy to Bushranger	9781742830322	7-8
Masson, Sophie	No Place Like Home	978-1-74051-854-3	7-8
Masson, Sophie	Snow, Fire, Sword	978-1-74051-909-0	7-8
Masson, Sophie	The Case of the Diamond Shadow	978-0-7333-2330-0	7-8, 9-10
Masson, Sophie	The Curse of Zohreh	978-1-74166-072-2	7-8
Masson, Sophie	The Green Prince	978-0-7336-0791-2	7-8
Masson, Sophie	The Hunt for Ned Kelly	9781741695649	5-6
Masson, Sophie	The Maharajah's Ghost	978-1-74166-215-3	7-8
Masson, Sophie	The Phar Lap Mystery	978-1-74169-727-8	5-6, 7-8
Masson, Sophie	The Tempestuous Voyage of Hopewell Shakespeare	978-0-340-96591-7	7-8
Masson, Sophie	The Tiger	978-0-207-19635-5	7-8
Masson, Sophie	The Understudy's Revenge	978-1-74169-813-8	7-8, 9-10
Masson, Sophie	Emilio	9781743312476	9-10
Masson, Sophie (ed.)	The Road to Camelot	978-1-74051-801-7	7-8
Masson, Sophie; Allan, David (ill.)	Two Trickster Tales From Russia	9780992283803	EC-2, 3-4
Masson, Sophie; Davis, Anthony (ill.)	The Secret Army Operation Loki	978-0-7333-1858-0	5-6, 7-8
Mastnak, Rosemary	Cooking with Grandma	978-1-921564-19-2	EC-2
Mathieu, Benedicte; Rambion Myrtille	Sport	9781877467769	3-4, 5-6, 7-8
Matt, Zurbo	I Love Footy	9781922081179	EC-2
Matter, Maritgen; Jutte, Jan (ill)	Sheep with Boots	978-1-877467-42-4	3-4, 5-6
Matthews, Cecily; Blackwood, Freya (ill.)	Emily's Rapunzel Hair	978-0-7333-1523-7	EC-2
Matthews, Penny	A Girl Like Me	978-0-14-301148-4	9-10
Matthews, Penny	Crusher Kevin	978-0-14-330563-7	3-4
Matthews, Penny	Jack's Owl	978-1-86291-477-3	EC-2, 3-4
Matthews, Penny	Jump Baby!	978-1-86291-427-8	EC-2
Matthews, Penny	Moving On	978-0-86896-838-4	EC-2
Matthews, Penny	Pudding and Chips	978-0-7333-1414-8	EC-2
Matthews, Penny	The Sea Dog	978-1-86291-375-2	EC-2, 3-4
Matthews, Penny	Heart of Magic	978-1-92115-068-5	3-4
Matthews, Penny (comp.)	Amazing: More Wonderfully Weird Stories	978-0-14-034293-2	7-8
Matthews, Penny (comp.)	Bizarre: Ten Wonderfully Weird Stories	978-0-14-034280-2	7-8
Matthews, Penny; Lucia Masciullo (ill.)	Our Australian Girl - Nellie		5-6, 7-8
Matthews, Penny; Lucia Masciullo (ill.)	Our Australian Girl - Nellie series		5-6, 7-8
Matthews, Penny; Masciullo, Lucia (ill.)	Our Australian Girl - Ruby		5-6, 7-8
Matthews, Penny; Masciullo, Lucia (ill.)	Our Australian Girl - Ruby series		5-6, 7-8
Matthews, Penny; McKenna, Martin (ill.)	The Gift	9781862916982	EC-2, 3-4
Matthews, Penny; McLean, Andrew (ill.)	A Year on Our Farm	978-1-86291-441-4	3-4
Matthews, Penny; McLean, Andrew (ill.)	Show Day	9781862916890	EC-2
Matthews, Penny; Norling, Beth (ill.)	The Best Pet	978-1-86291-357-8	EC-2, 3-4
Matthews, Penny; Pignataro, Anna (ill.)	Little Red Bear	978-1-86504-537-5	EC-2
Matthews, Penny; Quay, Emma (ill.)	Fairy Four Eyes	978-0-14-330277-3	3-4
Matthews, Penny; Snell, Danny (ill.)	Zizzy	978-1-862-91797-2	EC-2
Matthews, Rupert	Triceratops	978-0-431-16601-8	EC-2
Matthews, Tina	Waiting For Later	978-1-921720-05-5	EC-2
Matthews, Tina (ill.)	Out of the Egg	978-1-921150-35-7	EC-2
Mattingley, Christobel	Asmir in Vienna	978-0-14-038035-4	7-8
Mattingley, Christobel	Battle Order 204: A Bomber Pilot's Story	978-1-74175-161-1	7-8
Mattingley, Christobel	Daniel's Secret	978-1-86388-534-8	3-4
Mattingley, Christobel	Escape from Sarajevo	978-0-14-037525-1	7-8
Mattingley, Christobel	First Friend	978-0-14-130894-4	EC-2
Mattingley, Christobel	Hurry Up, Alice!	978-0-14-130156-3	3-4
Mattingley, Christobel	Maralinga's Long Shadow Yvonne's Story	9781760290177	7-8
Mattingley, Christobel	No Gun for Asmir	978-0-14-036729-4	7-8
Mattingley, Christobel	The Sack	978-0-14-036558-0	5-6
Mattingley, Christobel; Kennett, David	Forward March	9781742990804	5-6, 7-8
Mattingley, Christobel; Lacis, Astra (ill.)	The Angel with a Mouth Organ	978-0-340-38444-2	5-6
Mattingley, Christobel; Power, Margaret (ill.)	Ginger	978-0-14-038789-6	3-4
Mattingley, Christobel; Spudvilas, Anne (ill.)	The Race	978-1-86388-225-5	3-4
Maxwell, Cynthia	Ring of Bright Water	978-0-14-130807-4	5-6, 7-8
Maxwell, Cynthia; Axelsen, Stephen (ill.)	Wild Things	978-1-86291-426-1	EC-2, 3-4
Mayhew, James	Boy	978-1-904442-18-9	EC-2
Mayne, William	Earthfasts	978-0-340-65327-2	5-6, 7-8
Mayo, Catherine	Murder at Mykenai	9781922077943	9-10
Mayo, Catherine	The Bow	9781925081015	9-10
Mayo, Margaret	Plum Pudding: Stories, Rhymes and Fun for the Very Young	978-1-84121-359-0	EC-2
McAllan, Kate	Disaster	978-1-86504-655-6	3-4, 5-6
McAllister, Angela	Harry's Box	978-0-7475-6494-2	EC-2
McAllister, Angela	The Tortoise and the Hare	978-0-7112-1805-5	EC-2
McAllister, Peter	Dracula Tooth: the Legend of Ryan	978-0-14-330040-3	3-4
Mcauley, Rowan	Best Christmas Ever	978-1-920878-94-8	3-4
Mcauley, Rowan	Boys vs Girls	978-1-921288-65-4	3-4
Mcauley, Rowan	Class Captain	978-1-921288-95-1	3-4
Mcauley, Rowan	Holiday!	978-1-921417-50-4	3-4
Mcauley, Rowan	Horse Tails	978-1-921288-52-4	3-4
Mcauley, Rowan	Know it All?	978-1-92128-818-0	3-4
McAuley, Rowan	Lights Out	978-1-921417-86-3	3-4
McAuley, Rowan	Music Mad	9781742739595	3-4
Mcauley, Rowan	Sleep Over	978-1-920878-56-6	3-4
Mcauley, Rowan	Slumber Party	978-1-921098-57-4	3-4
McAuley, Rowan	Splash Down	978-1-921417-85-6	3-4
Mcauley, Rowan	The Big Split	978-1-921098-09-3	3-4
Mcauley, Rowan	The New Girl	978-1-921098-97-0	3-4
McBratney, Sam; Fuge, Charles (ill.)	It's Lovely When You Smile	978-0-14-056991-9	EC-2
McBratney, Sam; Jeram, Anita (ill.)	Guess How Much I Love You series		EC-2
McBratney, Sam; Jeram, Anita (ill.)	You're All My Favourites	978-1-84428-515-0	EC-2
McCaffrey, Kate	Beautiful Monster	978-1921-361-98-2	9-10
McCaffrey, Kate	Destroying Avalon	978-1-921064-57-9	9-10
McCaffrey, Kate	In Ecstasy	978-1-921-36116-6	9-10
McCall Smith, Alexander	Precious and the Monkeys	9781846972195	3-4
McCall Smith, Alexander	The Great Cake Mystery	9780307743893	3-4
